Country,Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
Germany,0.2,0.6,1.7,9.8,25,38,7258,2740.6,2335.5,33212,1.5,50.4,114,76,3001,7,1,25,33,1.35,92,84,-1.3,1.4,8.7,2.4,9,8.7,700,0,285,30.5,0.58,31.8,78.7,82.6,82.5,51,71,82645,91,28,31,0,0
Israel,2.3,1.6,7.1,10.6,35,44,6843,116.9,165.7,17194,1.6,49.7,121,84,1911,8,1,45,49,1.33,96,94,1.4,8.7,6.1,2.8,5,6.1,1,1,168,14.2,0.64,14.2,3.4,6.6,7.8,34,80,6601,0,0,0,478.9,72.6
Greece,0.7,0.1,6.8,8.7,18,21,5497,205.2,245.5,18560,2.6,42.7,119,66,1997,8,0,28,29,1.17,88,59,0.7,4.2,5.1,4.8,38,5.1,2,0,164,13,0.55,13,9,11.1,11.2,63,79,11098,42,0,14,0,0
Singapore,2.2,1.1,1.3,11.3,37,48,8087,106.8,119.1,25191,3.8,50.8,101,66,1156,8,0,38,46,1.35,94,84,15,4.7,1.6,2.9,13,1.6,0,0,73,18.9,0.51,18.9,2.3,4.3,4.8,67,77,4273,0,0,0,9.2,2.2
"Korea, Rep. of",1,0.3,4.4,9.6,28,44,7338,679.7,985.6,14136,4.5,50.1,106,68,1074,4,1,29,40,0.61,99,92,1.2,2.4,2.8,2.8,8,2.8,0,0,688,13.4,0.46,13.4,35.3,47.6,49.1,21,82,47645,0,0,0,-67.6,-1.4
Slovenia,0.4,-0.1,9.7,7.8,91,60,7109,32.2,41.8,16115,3.6,53.4,99,80,1669,6,0,79,61,1.38,94,90,2.6,1.6,6.7,2.1,10,6.7,0,0,7,10.8,0.61,12.2,1.7,2,1.9,66,85,1967,0,0,0,62.2,31.6
Portugal,0.5,0.3,3.9,5.6,33,31,4770,167.7,206.1,15970,2.1,55.2,112,79,1791,8,0,39,38,1.32,95,85,0.5,2.3,6.7,2.9,15,6.7,0,0,45,21.3,0.59,21.3,9.1,10.4,10.8,78,84,10441,100,70,85,0,0
Cyprus,1,1,3.3,8.9,52,48,5656,15.4,18.8,18668,3,53,111,74,1143,8,0,57,46,0.98,86,65,7.2,1.5,3.1,3.3,35,3.1,1,0,10,14.3,0.59,14.3,0.6,0.8,0.9,69,79,826,0,0,0,60,72.6
Czech Republic,0.1,-0.1,5.6,11.4,45,72,6567,107,198.3,10475,2.7,51.7,85,76,1302,7,0,43,72,1.1,97,90,4.2,1.8,6.8,0.8,10,6.8,2,4,22,15.7,0.51,17,10,10.2,10.1,61,79,10229,0,0,0,279.8,27.4
Malta,0.9,0.4,2.8,6.2,85,76,5632,5.3,7.6,13256,3.6,32.5,153,47,1436,6,0,99,83,1.33,87,90,7,0.8,7.4,1.9,9,7.4,2,0,2,9.2,0.48,9.2,0.3,0.4,0.4,20,100,400,0,0,0,6.2,15.5
Kuwait,3.3,2.4,1.8,31.1,45,60,16379,55.7,47.7,22654,-0.4,48,138,56,567,7,0,58,33,2.72,97,62,7,7.9,2.7,0.8,36,2.7,2,0,16,1.5,0.37,1.5,1,2.6,3.4,83,62,2606,0,0,0,2.6,1
Hungary,-0.1,-0.3,15.9,5.7,31,64,4051,100.7,169.9,9962,3.1,42.1,91,73,1269,9,0,29,68,1.4,99,88,4.6,1.5,6.1,2.3,11,6.1,8,4,32,10.4,0.64,10.4,10.5,10.1,9.8,47,48,10124,0,0,0,302.7,29.9
Argentina,1.3,1,7.1,3.4,10,25,2543,153,510.3,3988,1.3,52.2,136,68,1067,7,0,5,18,1.51,95,29,2.7,1.1,4.3,4.6,70,4.3,3,1,71,36.5,0.53,35,26,38.4,42.7,65,66,38372,0,0,0,91.2,2.4
Poland,0.4,-0.1,17.5,7.9,29,39,3702,242.3,495.4,6346,4,47.9,84,78,745,6,0,22,41,1.41,97,81,5.2,2,4.5,2,19,4.5,5,20,142,19.1,0.59,20.4,34,38.6,38.1,56,78,38559,0,0,0,1524.8,39.5
Chile,1.5,1,6.7,3.7,35,36,3092,94.1,175.3,5836,3.7,36.4,113,51,707,5,0,31,30,0.95,95,13,8.1,3.9,3,3.1,86,3,1,1,78,12.7,0.39,15,10.4,16.1,17.9,114,85,16124,0,0,0,49.1,3
Bahrain,3.3,1.6,0.4,31,116,82,11274,11,14.9,15384,2.2,29.2,104,33,813,8,0,95,64,1.84,99,10,7,4.4,2.8,1.3,90,2.8,0,0,11,7.5,0.33,0,0.3,0.7,0.9,49,97,716,0,0,0,103.9,145.1
Estonia,-0.2,-0.3,13.3,13.6,37,78,6094,11.2,19.6,8331,4.3,52.2,81,80,682,4,0,38,86,1.68,96,77,9.3,1.8,4.1,1.2,22,4.1,0,1,5,18.8,0.62,18.8,1.4,1.3,1.3,75,70,1335,0,0,0,136.4,102.2
Lithuania,0.1,-0.4,16.7,3.7,52,54,3453,22.3,45,6480,1.4,51.8,87,81,754,4,0,61,61,1.55,98,58,3.5,1.7,5,1.6,42,5,1,1,14,22,0.69,22,3.3,3.4,3.3,89,74,3443,0,0,0,252.2,73.3
Slovakia,0.5,0.6,8.1,7,27,77,5377,41.1,78.7,7635,2.7,51.9,87,76,777,7,0,36,79,1.22,98,86,2.7,1.7,5.2,0.7,14,5.2,0,1,20,16.7,0.58,16.7,4.7,5.4,5.4,34,87,5401,0,0,0,235.2,43.5
Uruguay,0.7,0.6,23.9,1.3,24,30,2310,13.2,32.4,3842,0.8,55.7,122,71,824,8,0,18,28,2.04,95,32,2.4,1.2,2.7,7.1,68,2.7,0,0,24,10.8,0.55,11.1,2.8,3.4,3.7,86,86,3439,0,0,0,22,6.4
Croatia,0.2,-0.2,19.7,5.3,37,47,3733,34.3,54.2,7724,2.5,44.7,96,74,838,6,0,38,56,1.19,96,72,3.6,1.7,6.5,1.3,27,6.5,3,119,21,21.7,0.67,21.7,4.3,4.5,4.5,63,79,4540,0,0,0,120.8,26.6
Latvia,-0.2,-0.5,17,2.9,48,44,2835,13.6,27,5868,2.8,49.1,78,77,678,5,0,49,60,1.72,99,61,5.1,1.7,3.3,3.1,36,3.3,0,2,5,21,0.67,21,2.5,2.3,2.2,83,74,2318,0,0,0,164.6,71
Costa Rica,2.5,1.4,13.7,1.5,35,46,1764,18.5,40.3,4349,2.5,43.7,133,54,616,7,0,41,49,1.26,88,63,3.4,0,5.8,1.5,37,5.8,11,0,0,38.6,0.46,38.6,2.1,4.3,5,153,94,4253,0,0,0,13.5,3.2
United Arab Emirates,7.2,2.4,15.5,33.6,66,82,15878,104.2,103.9,24121,-0.5,37.4,149,41,623,15,0,41,65,3.24,94,62,7,2.4,2.5,0.8,36,2.5,0,0,51,0,0.24,0,0.5,4.3,5.6,17,64,4284,0,0,0,5.7,1.3
Mexico,2,1.1,15.7,4,19,30,2108,676.5,1017.5,6518,1.3,39.9,115,49,582,9,0,20,32,0.98,96,80,2.6,0.4,2.9,3.3,20,2.9,3,2,193,25,0.39,25.8,59.3,105.7,119.1,71,83,105699,0,0,0,121.1,1.1
Bulgaria,-0.4,-0.8,75.1,5.6,33,58,4735,24.1,62.7,3109,0.7,41.9,70,79,573,10,0,37,69,1.16,95,62,8.3,2.4,4.1,3.4,33,4.1,4,4,51,22.1,0.65,22.1,8.7,7.8,7.2,104,91,7780,0,0,0,622.4,80
Trinidad and Tobago,0.9,0.3,5.1,22.1,45,60,4925,12.5,15.9,9640,3.3,46.6,112,61,532,23,0,29,48,1.27,95,35,8,2.3,1.5,2.4,65,1.5,46,0,3,25.4,0.46,19.4,1,1.3,1.3,63,79,1301,0,0,0,-0.8,-0.6
Panama,2.1,1.6,1.1,1.9,87,63,1733,13.7,23.1,4325,2.2,49.9,129,63,555,10,0,79,65,1.59,99,10,7.4,0,5,2.6,90,5,2,0,0,16.7,0.56,16.7,1.7,3.2,3.8,133,74,3175,0,0,0,37.7,11.9
Oman,3.5,2,0.1,12.9,47,57,3817,24.3,38.7,9584,1.9,21.9,145,27,419,8,0,28,43,1.38,98,12,-0.1,12,2.7,0.5,87,2.7,0,0,42,7.8,0.18,2.4,0.9,2.5,3.2,123,90,2534,0,0,0,54.9,21.7
Romania,0.1,-0.4,72.3,4.2,17,37,2441,73.2,183.9,3374,1.4,50.7,95,80,540,9,0,26,46,1.26,97,82,7.4,2.1,3.8,2.3,17,3.8,2,11,97,10.7,0.65,11.2,21.2,21.8,20.9,41,80,21790,0,0,0,915.7,42
Malaysia,2.4,1.6,3,6.4,75,121,3196,118.3,255.8,4753,3.5,46.1,105,56,374,10,0,72,100,1.41,95,76,3.9,2.3,2.2,1.6,23,2.2,34,0,110,13.1,0.36,9.1,12.3,24.9,29.6,69,72,24894,0,0,0,289.5,11.6
Mauritius,1.1,0.8,6.3,2.6,64,56,1683,6,14.8,4889,3.9,42.2,101,53,430,13,0,71,56,1.39,98,71,0.2,0.2,2.2,1.5,28,2.2,0,0,0,17.1,0.4,17.1,0.9,1.2,1.3,33,87,1233,0,0,0,37.9,30.8
Russian Federation,0.2,-0.5,59.4,10.3,18,35,6303,581.4,1424.4,4042,-0.6,54.3,90,80,551,6,0,18,22,1.36,98,21,2.1,3.9,3.3,2.3,62,3.3,2,103,1027,8,0.62,9.8,134.2,143.9,136.7,13,61,143899,0,0,0,1313.1,9.1
"Macedonia, TFYR",0.7,0.1,6.3,5.2,26,40,3794,5.4,13.4,2637,-0.4,40.9,85,63,389,5,0,36,61,1.39,96,77,2.9,2.6,6,1.1,23,6,1,9,11,19.2,0.48,19.2,1.7,2,2.1,73,84,2030,0,0,0,248.4,122.3
Belarus,0.2,-0.6,163.7,6.4,46,68,3388,22.9,68.5,2330,1.6,52.5,87,82,570,5,0,44,74,1.39,99,60,0.7,1.4,3.9,1.6,39,4.9,1,9,73,29.8,0.64,29.1,9.4,9.8,9.2,42,73,9811,0,0,0,46.2,4.7
Brazil,1.8,1.2,98.3,1.6,8,18,2246,604,1507.1,3284,1.2,56.3,127,70,597,10,0,7,13,1.32,99,54,3,1.5,3.4,4.2,46,3.4,3,0,287,9.1,0.57,8.6,108.1,183.9,209.4,47,83,183913,0,0,0,285.1,1.6
Colombia,2,1.3,16.1,1.3,21,21,1045,97.7,325.9,2176,0.5,60.5,133,75,522,9,0,15,22,1.09,92,38,3.1,3.8,6.4,1.2,62,6.4,0,60,207,10.8,0.58,12,25.4,44.9,52.1,17,83,44915,0,0,0,509,11.3
"Venezuela, RB",2.5,1.6,39.3,5.6,39,36,3510,110.1,157.9,4214,-1.2,55.9,148,67,231,7,0,20,20,1.07,80,12,1.4,1.2,2,2.5,88,2,0,3,82,18,0.51,18,12.7,26.3,31.3,77,82,26282,0,0,0,48.6,1.8
Albania,0.9,0.6,17.3,1,15,21,1743,7.6,15.5,2439,4.8,49.4,85,69,366,3,0,23,43,1.57,96,82,5.6,1.2,2.7,3.8,18,2.7,0,13,22,7.1,0.54,7.1,2.4,3.1,3.3,34,91,3112,0,0,0,362.5,116.5
Thailand,1.5,0.7,3.9,3.9,34,71,1896,161.7,515.3,2539,2.6,65.4,87,81,260,9,0,42,66,1.17,96,75,0.9,1.2,2,1.3,22,2,117,0,307,10.7,0.59,10.8,41.3,63.7,69.1,71,73,63694,0,0,0,-1.8,21.4
Saudi Arabia,4.1,2.3,0.5,13,41,53,6749,250.6,331.1,10462,-0.1,17.3,116,22,578,11,0,32,25,1.5,97,12,7,8.3,3,1,88,2.5,241,0,200,0,0.15,0,7.3,24,30.8,40,79,23950,0,0,0,32.3,1.3
